genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW
CantonSMH,0-125M_24hr,fly01,2,0.2857142857142857,7,-0.4285714285714286,0.4285714285714286
CantonSMH,0-125M_24hr,fly01,3,0.8,5,0.6000000000000001,0.6000000000000001
CantonSMH,0-125M_24hr,fly01,4,1.0,8,1.0,1.0
CantonSMH,0-125M_24hr,fly01,5,0.2,5,-0.6,0.6
CantonSMH,0-125M_24hr,fly01,7,0.0,3,-1.0,1.0
CantonSMH,0-125M_24hr,fly01,8,0.14285714285714285,7,-0.7142857142857143,0.7142857142857143
CantonSMH,0-125M_24hr,fly01,10,0.2857142857142857,7,-0.4285714285714286,0.4285714285714286
CantonSMH,0-125M_24hr,fly01,11,0.5,12,0.0,0.0
CantonSMH,0-125M_24hr,fly01,12,1.0,3,1.0,1.0
CantonSMH,0-125M_24hr,fly01,13,0.42105263157894735,19,-0.1578947368421053,0.1578947368421053
CantonSMH,0-125M_24hr,fly01,14,0.5789473684210527,19,0.1578947368421053,0.1578947368421053
CantonSMH,0-125M_24hr,fly01,15,0.16666666666666666,6,-0.6666666666666667,0.6666666666666667
CantonSMH,0-125M_24hr,fly01,16,0.3333333333333333,18,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly01,17,0.2,10,-0.6,0.6
CantonSMH,0-125M_24hr,fly01,18,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly01,19,0.5555555555555556,18,0.11111111111111116,0.11111111111111116
CantonSMH,0-125M_24hr,fly01,20,0.5588235294117647,34,0.11764705882352944,0.11764705882352944
CantonSMH,0-125M_24hr,fly01,21,0.45454545454545453,44,-0.09090909090909094,0.09090909090909094
CantonSMH,0-125M_24hr,fly01,22,0.5,24,0.0,0.0
CantonSMH,0-125M_24hr,fly01,23,0.38095238095238093,63,-0.23809523809523814,0.23809523809523814
CantonSMH,0-125M_24hr,fly01,24,0.0,3,-1.0,1.0
CantonSMH,0-125M_24hr,fly01,25,0.4791666666666667,48,-0.04166666666666663,0.04166666666666663
CantonSMH,0-125M_24hr,fly01,26,0.4,15,-0.19999999999999996,0.19999999999999996
CantonSMH,0-125M_24hr,fly01,27,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly01,28,0.4444444444444444,45,-0.11111111111111116,0.11111111111111116
CantonSMH,0-125M_24hr,fly01,29,0.494949494949495,99,-0.010101010101010055,0.010101010101010055
CantonSMH,0-125M_24hr,fly01,30,0.421875,64,-0.15625,0.15625
CantonSMH,0-125M_24hr,fly01,31,0.34868421052631576,152,-0.3026315789473685,0.3026315789473685
CantonSMH,0-125M_24hr,fly01,32,0.6666666666666666,3,0.33333333333333326,0.33333333333333326
CantonSMH,0-125M_24hr,fly01,33,0.18181818181818182,11,-0.6363636363636364,0.6363636363636364
CantonSMH,0-125M_24hr,fly01,34,0.35135135135135137,37,-0.29729729729729726,0.29729729729729726
CantonSMH,0-125M_24hr,fly01,35,0.4,5,-0.19999999999999996,0.19999999999999996
CantonSMH,0-125M_24hr,fly01,36,0.6363636363636364,11,0.2727272727272727,0.2727272727272727
CantonSMH,0-125M_24hr,fly01,37,0.4449152542372881,236,-0.11016949152542377,0.11016949152542377
CantonSMH,0-125M_24hr,fly01,38,0.47058823529411764,102,-0.05882352941176472,0.05882352941176472
CantonSMH,0-125M_24hr,fly01,39,0.75,4,0.5,0.5
CantonSMH,0-125M_24hr,fly01,40,0.5365853658536586,41,0.07317073170731714,0.07317073170731714
CantonSMH,0-125M_24hr,fly01,41,0.57421875,256,0.1484375,0.1484375
CantonSMH,0-125M_24hr,fly02,5,0.6666666666666666,3,0.33333333333333326,0.33333333333333326
CantonSMH,0-125M_24hr,fly02,6,0.75,4,0.5,0.5
CantonSMH,0-125M_24hr,fly02,7,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly02,8,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly02,9,0.2,5,-0.6,0.6
CantonSMH,0-125M_24hr,fly02,10,1.0,3,1.0,1.0
CantonSMH,0-125M_24hr,fly02,11,0.5238095238095238,21,0.04761904761904767,0.04761904761904767
CantonSMH,0-125M_24hr,fly02,12,0.8571428571428571,7,0.7142857142857142,0.7142857142857142
CantonSMH,0-125M_24hr,fly02,14,0.8333333333333334,12,0.6666666666666667,0.6666666666666667
CantonSMH,0-125M_24hr,fly02,16,1.0,3,1.0,1.0
CantonSMH,0-125M_24hr,fly02,17,0.391304347826087,23,-0.21739130434782605,0.21739130434782605
CantonSMH,0-125M_24hr,fly02,18,0.7857142857142857,14,0.5714285714285714,0.5714285714285714
CantonSMH,0-125M_24hr,fly02,19,0.5166666666666667,60,0.03333333333333344,0.03333333333333344
CantonSMH,0-125M_24hr,fly02,20,0.25,4,-0.5,0.5
CantonSMH,0-125M_24hr,fly02,21,0.6363636363636364,11,0.2727272727272727,0.2727272727272727
CantonSMH,0-125M_24hr,fly02,22,0.5367647058823529,136,0.07352941176470584,0.07352941176470584
CantonSMH,0-125M_24hr,fly02,24,0.8,5,0.6000000000000001,0.6000000000000001
CantonSMH,0-125M_24hr,fly02,25,0.5136986301369864,146,0.027397260273972712,0.027397260273972712
CantonSMH,0-125M_24hr,fly02,28,0.6666666666666666,3,0.33333333333333326,0.33333333333333326
CantonSMH,0-125M_24hr,fly02,29,0.42857142857142855,7,-0.1428571428571429,0.1428571428571429
CantonSMH,0-125M_24hr,fly02,30,0.75,4,0.5,0.5
CantonSMH,0-125M_24hr,fly02,31,0.2,5,-0.6,0.6
CantonSMH,0-125M_24hr,fly02,32,0.7142857142857143,7,0.4285714285714286,0.4285714285714286
CantonSMH,0-125M_24hr,fly02,33,0.4838709677419355,31,-0.032258064516129004,0.032258064516129004
CantonSMH,0-125M_24hr,fly02,34,0.5909090909090909,22,0.18181818181818188,0.18181818181818188
CantonSMH,0-125M_24hr,fly02,35,0.5789473684210527,19,0.1578947368421053,0.1578947368421053
CantonSMH,0-125M_24hr,fly02,36,0.5666666666666667,60,0.1333333333333333,0.1333333333333333
CantonSMH,0-125M_24hr,fly02,38,0.5,36,0.0,0.0
CantonSMH,0-125M_24hr,fly02,39,0.8181818181818182,11,0.6363636363636365,0.6363636363636365
CantonSMH,0-125M_24hr,fly02,40,0.5420560747663551,214,0.08411214953271018,0.08411214953271018
CantonSMH,0-125M_24hr,fly02,41,0.576271186440678,59,0.15254237288135597,0.15254237288135597
CantonSMH,0-125M_24hr,fly02,42,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly02,44,0.5512820512820513,156,0.10256410256410264,0.10256410256410264
CantonSMH,0-125M_24hr,fly03,1,0.25,4,-0.5,0.5
CantonSMH,0-125M_24hr,fly03,2,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly03,4,1.0,3,1.0,1.0
CantonSMH,0-125M_24hr,fly03,5,0.3333333333333333,3,-0.33333333333333337,0.33333333333333337
CantonSMH,0-125M_24hr,fly03,6,0.3888888888888889,18,-0.2222222222222222,0.2222222222222222
CantonSMH,0-125M_24hr,fly03,7,0.375,8,-0.25,0.25
CantonSMH,0-125M_24hr,fly03,8,0.6111111111111112,126,0.22222222222222232,0.22222222222222232
CantonSMH,0-125M_24hr,fly03,10,0.0,3,-1.0,1.0
CantonSMH,0-125M_24hr,fly03,11,0.4,5,-0.19999999999999996,0.19999999999999996
CantonSMH,0-125M_24hr,fly03,12,0.8571428571428571,7,0.7142857142857142,0.7142857142857142
CantonSMH,0-125M_24hr,fly03,13,0.6129032258064516,62,0.22580645161290325,0.22580645161290325
CantonSMH,0-125M_24hr,fly03,14,0.5714285714285714,14,0.1428571428571428,0.1428571428571428
CantonSMH,0-125M_24hr,fly03,15,0.635593220338983,118,0.27118644067796605,0.27118644067796605
CantonSMH,0-125M_24hr,fly03,17,0.8,5,0.6000000000000001,0.6000000000000001
CantonSMH,0-125M_24hr,fly03,18,0.625,16,0.25,0.25
CantonSMH,0-125M_24hr,fly03,19,0.7058823529411765,17,0.41176470588235303,0.41176470588235303
CantonSMH,0-125M_24hr,fly03,20,0.55,20,0.10000000000000009,0.10000000000000009
CantonSMH,0-125M_24hr,fly03,21,0.5384615384615384,13,0.07692307692307687,0.07692307692307687
CantonSMH,0-125M_24hr,fly03,22,0.625,16,0.25,0.25
CantonSMH,0-125M_24hr,fly03,23,0.6656976744186046,344,0.3313953488372092,0.3313953488372092
CantonSMH,0-125M_24hr,fly03,25,0.6819526627218935,676,0.36390532544378695,0.36390532544378695
CantonSMH,0-125M_24hr,fly03,26,0.65625,96,0.3125,0.3125
CantonSMH,0-125M_24hr,fly03,27,0.6666666666666666,6,0.33333333333333326,0.33333333333333326
CantonSMH,0-125M_24hr,fly03,28,0.676056338028169,71,0.352112676056338,0.352112676056338
CantonSMH,0-125M_24hr,fly04,1,0.40540540540540543,37,-0.18918918918918914,0.18918918918918914
CantonSMH,0-125M_24hr,fly04,3,0.6666666666666666,3,0.33333333333333326,0.33333333333333326
CantonSMH,0-125M_24hr,fly04,4,0.6,5,0.19999999999999996,0.19999999999999996
CantonSMH,0-125M_24hr,fly04,5,0.3157894736842105,19,-0.368421052631579,0.368421052631579
CantonSMH,0-125M_24hr,fly04,6,0.26666666666666666,15,-0.4666666666666667,0.4666666666666667
CantonSMH,0-125M_24hr,fly04,7,0.5714285714285714,21,0.1428571428571428,0.1428571428571428
CantonSMH,0-125M_24hr,fly04,8,0.5789473684210527,19,0.1578947368421053,0.1578947368421053
CantonSMH,0-125M_24hr,fly04,9,0.6666666666666666,3,0.33333333333333326,0.33333333333333326
CantonSMH,0-125M_24hr,fly04,10,0.453125,64,-0.09375,0.09375
CantonSMH,0-125M_24hr,fly04,12,0.47619047619047616,21,-0.04761904761904767,0.04761904761904767
CantonSMH,0-125M_24hr,fly04,13,0.6470588235294118,17,0.2941176470588236,0.2941176470588236
