genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
CantonSMH,0-125M_24hr,fly21,7,0.5066666666666667,75,0.0133333333333334,0.0133333333333334,after food
CantonSMH,0-125M_24hr,fly21,8,0.7272727272727273,11,0.4545454545454546,0.4545454545454546,after food
CantonSMH,0-125M_24hr,fly21,9,0.7142857142857143,7,0.4285714285714286,0.4285714285714286,after food
CantonSMH,0-125M_24hr,fly21,10,0.6666666666666666,18,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly21,11,0.6428571428571429,14,0.2857142857142858,0.2857142857142858,after food
CantonSMH,0-125M_24hr,fly21,12,0.8,5,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_24hr,fly21,13,0.7777777777777778,18,0.5555555555555556,0.5555555555555556,after food
CantonSMH,0-125M_24hr,fly21,14,0.5909090909090909,22,0.1818181818181818,0.1818181818181818,after food
CantonSMH,0-125M_24hr,fly21,15,0.4722222222222222,36,-0.0555555555555555,0.0555555555555555,after food
CantonSMH,0-125M_24hr,fly21,16,0.5555555555555556,27,0.1111111111111111,0.1111111111111111,after food
CantonSMH,0-125M_24hr,fly21,17,0.4230769230769231,26,-0.1538461538461538,0.1538461538461538,after food
CantonSMH,0-125M_24hr,fly21,18,0.5272727272727272,55,0.0545454545454544,0.0545454545454544,after food
CantonSMH,0-125M_24hr,fly21,19,0.6,20,0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly21,20,0.5,30,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly21,21,0.4285714285714285,21,-0.1428571428571429,0.1428571428571429,after food
CantonSMH,0-125M_24hr,fly21,22,0.5166666666666667,60,0.0333333333333334,0.0333333333333334,after food
CantonSMH,0-125M_24hr,fly21,23,0.5684210526315789,95,0.1368421052631578,0.1368421052631578,after food
CantonSMH,0-125M_24hr,fly21,24,0.5,50,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly21,25,0.4576271186440678,59,-0.0847457627118644,0.0847457627118644,after food
CantonSMH,0-125M_24hr,fly21,26,0.6027397260273972,73,0.2054794520547944,0.2054794520547944,after food
CantonSMH,0-125M_24hr,fly21,27,0.5833333333333334,36,0.1666666666666667,0.1666666666666667,after food
CantonSMH,0-125M_24hr,fly21,28,0.4166666666666667,12,-0.1666666666666666,0.1666666666666666,after food
CantonSMH,0-125M_24hr,fly21,29,0.5887850467289719,107,0.1775700934579438,0.1775700934579438,after food
CantonSMH,0-125M_24hr,fly22,4,0.25,4,-0.5,0.5,after food
CantonSMH,0-125M_24hr,fly22,5,1.0,4,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly22,7,0.44,175,-0.12,0.12,after food
CantonSMH,0-125M_24hr,fly22,10,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly22,11,0.4210526315789473,19,-0.1578947368421053,0.1578947368421053,after food
CantonSMH,0-125M_24hr,fly22,12,0.8333333333333334,6,0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_24hr,fly22,13,0.447653429602888,277,-0.1046931407942238,0.1046931407942238,after food
CantonSMH,0-125M_24hr,fly22,17,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly22,18,0.0,4,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly22,19,0.2,5,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly22,20,0.2666666666666666,30,-0.4666666666666667,0.4666666666666667,after food
CantonSMH,0-125M_24hr,fly22,22,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly22,23,0.4375,16,-0.125,0.125,after food
CantonSMH,0-125M_24hr,fly22,24,0.2272727272727272,22,-0.5454545454545454,0.5454545454545454,after food
CantonSMH,0-125M_24hr,fly22,26,0.0,5,-1.0,1.0,after food
CantonSMH,0-125M_24hr,fly22,27,0.4,10,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_24hr,fly22,28,0.392156862745098,102,-0.2156862745098039,0.2156862745098039,after food
CantonSMH,0-125M_24hr,fly22,29,0.3809523809523809,21,-0.2380952380952381,0.2380952380952381,after food
CantonSMH,0-125M_24hr,fly23,5,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly23,6,0.4552238805970149,134,-0.0895522388059701,0.0895522388059701,after food
CantonSMH,0-125M_24hr,fly23,8,0.1428571428571428,7,-0.7142857142857143,0.7142857142857143,after food
CantonSMH,0-125M_24hr,fly23,9,0.4333333333333333,90,-0.1333333333333333,0.1333333333333333,after food
CantonSMH,0-125M_24hr,fly23,10,0.5,158,0.0,0.0,after food
CantonSMH,0-125M_24hr,fly23,12,0.2,5,-0.6,0.6,after food
CantonSMH,0-125M_24hr,fly23,14,0.5945945945945946,37,0.1891891891891892,0.1891891891891892,after food
CantonSMH,0-125M_24hr,fly23,19,0.4379084967320261,153,-0.1241830065359477,0.1241830065359477,after food
CantonSMH,0-125M_24hr,fly24,6,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly24,7,0.75,4,0.5,0.5,after food
CantonSMH,0-125M_24hr,fly24,12,0.6666666666666666,12,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_24hr,fly24,14,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_24hr,fly24,15,0.4402985074626865,134,-0.1194029850746268,0.1194029850746268,after food
CantonSMH,0-125M_24hr,fly24,16,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_24hr,fly24,19,0.4823529411764706,85,-0.0352941176470588,0.0352941176470588,after food
CantonSMH,0-125M_24hr,fly24,20,0.4375,80,-0.125,0.125,after food
