genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW
CantonSMH,0-125M_40hr,fly09,0,0.6,15,0.19999999999999996,0.19999999999999996
CantonSMH,0-125M_40hr,fly10,0,0.4803921568627451,102,-0.039215686274509776,0.039215686274509776
CantonSMH,0-125M_40hr,fly11,0,0.5169491525423728,118,0.03389830508474567,0.03389830508474567
CantonSMH,0-125M_40hr,fly12,0,0.44871794871794873,78,-0.10256410256410253,0.10256410256410253
CantonSMH,0-125M_40hr,fly13,0,0.5365853658536586,205,0.07317073170731714,0.07317073170731714
CantonSMH,0-125M_40hr,fly14,0,0.44776119402985076,134,-0.10447761194029848,0.10447761194029848
CantonSMH,0-125M_40hr,fly15,0,0.5260416666666666,192,0.05208333333333326,0.05208333333333326
CantonSMH,0-125M_40hr,fly16,0,0.5079365079365079,63,0.015873015873015817,0.015873015873015817
CantonSMH,0-125M_40hr,fly17,0,0.5294117647058824,51,0.05882352941176472,0.05882352941176472
CantonSMH,0-125M_40hr,fly18,0,0.43243243243243246,370,-0.1351351351351351,0.1351351351351351
CantonSMH,0-125M_40hr,fly19,0,0.005050505050505051,198,-0.98989898989899,0.98989898989899
CantonSMH,0-125M_40hr,fly20,0,0.38666666666666666,75,-0.22666666666666668,0.22666666666666668
CantonSMH,0-125M_40hr,fly21,0,0.5789473684210527,76,0.1578947368421053,0.1578947368421053
CantonSMH,0-125M_40hr,fly23,0,0.3673469387755102,147,-0.26530612244897955,0.26530612244897955
CantonSMH,0-125M_40hr,fly24,0,0.6132596685082873,362,0.22651933701657456,0.22651933701657456
CantonSMH,0-125M_40hr,fly25,0,0.47244094488188976,127,-0.055118110236220486,0.055118110236220486
CantonSMH,0-125M_40hr,fly26,0,0.5572755417956656,323,0.11455108359133126,0.11455108359133126
CantonSMH,0-125M_40hr,fly27,0,0.48703170028818443,347,-0.025936599423631135,0.025936599423631135
CantonSMH,0-125M_40hr,fly28,0,0.5348837209302325,86,0.06976744186046502,0.06976744186046502
CantonSMH,0-125M_40hr,fly29,0,0.4444444444444444,90,-0.11111111111111116,0.11111111111111116
CantonSMH,0M_24hr,fly01,0,0.43548387096774194,496,-0.12903225806451613,0.12903225806451613
CantonSMH,0M_24hr,fly02,0,0.6402439024390244,328,0.2804878048780488,0.2804878048780488
