genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
CantonSMH,0-125M_40hr,fly10,26,0.8571428571428571,7,0.7142857142857142,0.7142857142857142,after food
CantonSMH,0-125M_40hr,fly10,28,0.6666666666666666,6,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_40hr,fly10,29,0.3846153846153846,13,-0.2307692307692307,0.2307692307692307,after food
CantonSMH,0-125M_40hr,fly10,30,0.8,10,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_40hr,fly10,31,0.6842105263157895,19,0.368421052631579,0.368421052631579,after food
CantonSMH,0-125M_40hr,fly10,32,0.4,5,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_40hr,fly10,33,0.4,15,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_40hr,fly10,34,0.65,20,0.3,0.3,after food
CantonSMH,0-125M_40hr,fly10,35,0.8333333333333334,6,0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_40hr,fly10,36,0.5588235294117647,34,0.1176470588235294,0.1176470588235294,after food
CantonSMH,0-125M_40hr,fly10,37,0.5526315789473685,38,0.1052631578947369,0.1052631578947369,after food
CantonSMH,0-125M_40hr,fly10,38,0.5517241379310345,58,0.1034482758620689,0.1034482758620689,after food
CantonSMH,0-125M_40hr,fly10,39,0.3333333333333333,3,-0.3333333333333333,0.3333333333333333,after food
CantonSMH,0-125M_40hr,fly10,40,1.0,3,1.0,1.0,after food
CantonSMH,0-125M_40hr,fly10,41,0.75,8,0.5,0.5,after food
CantonSMH,0-125M_40hr,fly10,42,0.8333333333333334,6,0.6666666666666667,0.6666666666666667,after food
CantonSMH,0-125M_40hr,fly10,43,0.4444444444444444,27,-0.1111111111111111,0.1111111111111111,after food
CantonSMH,0-125M_40hr,fly10,44,0.4,5,-0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_40hr,fly10,45,0.6,20,0.1999999999999999,0.1999999999999999,after food
CantonSMH,0-125M_40hr,fly10,46,0.4642857142857143,28,-0.0714285714285714,0.0714285714285714,after food
CantonSMH,0-125M_40hr,fly10,47,0.75,8,0.5,0.5,after food
CantonSMH,0-125M_40hr,fly10,48,0.2857142857142857,7,-0.4285714285714286,0.4285714285714286,after food
CantonSMH,0-125M_40hr,fly10,49,0.6190476190476191,21,0.2380952380952381,0.2380952380952381,after food
CantonSMH,0-125M_40hr,fly10,50,0.5833333333333334,24,0.1666666666666667,0.1666666666666667,after food
CantonSMH,0-125M_40hr,fly10,51,0.8,5,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_40hr,fly10,53,0.65625,32,0.3125,0.3125,after food
CantonSMH,0-125M_40hr,fly10,54,0.4444444444444444,9,-0.1111111111111111,0.1111111111111111,after food
CantonSMH,0-125M_40hr,fly10,55,0.4761904761904761,21,-0.0476190476190476,0.0476190476190476,after food
CantonSMH,0-125M_40hr,fly10,56,0.5238095238095238,21,0.0476190476190476,0.0476190476190476,after food
CantonSMH,0-125M_40hr,fly10,57,0.5,14,0.0,0.0,after food
CantonSMH,0-125M_40hr,fly10,58,0.4875,80,-0.025,0.025,after food
CantonSMH,0-125M_40hr,fly11,1,0.0,10,-1.0,1.0,after food
CantonSMH,0-125M_40hr,fly11,2,0.1428571428571428,7,-0.7142857142857143,0.7142857142857143,after food
CantonSMH,0-125M_40hr,fly11,4,0.0,3,-1.0,1.0,after food
CantonSMH,0-125M_40hr,fly11,5,0.8,5,0.6000000000000001,0.6000000000000001,after food
CantonSMH,0-125M_40hr,fly11,7,0.0,4,-1.0,1.0,after food
CantonSMH,0-125M_40hr,fly11,9,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_40hr,fly11,10,0.5,4,0.0,0.0,after food
CantonSMH,0-125M_40hr,fly11,11,0.375,8,-0.25,0.25,after food
CantonSMH,0-125M_40hr,fly11,14,0.6666666666666666,3,0.3333333333333332,0.3333333333333332,after food
CantonSMH,0-125M_40hr,fly11,15,0.8,5,0.6000000000000001,0.6000000000000001,after food
