,fly,flyid,condition,trip_index,time,cumul_feeding,norm_cumul_feeding,duration,length,runturnsegs,previsit_duration,isloop,postvisit_duration,scaled_duration,scaled_length,scaled_duration_loop,scaled_length_loop,scaled_previsit_duration,scaled_postvisit_duration,genotype,triptype,triptype_vs,log10_duration,log10_scaled_duration,log10_length,log10_scaled_length
0,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,0.0,1254.566298,901.461634,0.5411879219770855,3.4605860000001485,1.7879263553611509,5.0,1254.566298,1.0,40.026051999999936,0.09563130503591946,0.06387981811604479,0.09563130503591946,0.06387981811604479,7.660223774004211,0.47497318444862885,CantonSMH,short,very short,0.5391496464857228,-1.0193999175686375,0.25234962625018753,-1.1946363290913278
1,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,1.0,1298.052936,939.7782419999999,0.5641911033423509,13.300324000000046,52.102221449232275,21.0,40.026051999999936,1.0,89.39151700000002,0.36754680898567765,1.8615310522376363,0.36754680898567765,1.8615310522376363,0.24439403130684795,1.0607734555529937,CantonSMH,long,long,1.1238622206436464,-0.4346873434107139,1.7168562404315038,0.2698702850899883
2,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,2.0,1400.744777,1027.043374,0.6165802829445703,67.29379999999992,79.06744409545217,27.0,89.39151700000002,1.0,40.859928999999966,1.859625483899511,2.824956370587081,1.859625483899511,2.824956370587081,0.5458133418770522,0.48486847000235983,CantonSMH,long,long,1.827975053082457,0.2694254890280968,1.8979977001838408,0.4510117448423253
3,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,3.0,1508.898506,1067.6114470000002,0.6409351199086966,1.0423450000000685,0.2975879066705147,1.0,40.859928999999966,1.0,28.89380600000004,0.028804604956405574,0.010632351435866109,0.028804604956405574,0.010632351435866109,0.249485579222792,0.34287126411220725,CantonSMH,short,very short,0.01801148748326094,-1.5405380765710994,-0.5263847215568651,-1.9733706768983805
4,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,4.0,1538.834657,1095.7964580000005,0.6578558483775372,62.45731999999998,59.69115910312712,19.0,28.89380600000004,1.0,119.202587,1.7259721390093399,2.1326719499436178,1.7259721390093399,2.1326719499436178,0.1764219395941926,1.4145295254676833,CantonSMH,long,long,1.7955833450209422,0.23703378096658195,1.7759100122507716,0.32892405690925614
5,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,5.0,1720.494564,1213.4563740000008,0.7284923824666171,94.64493799999991,50.60228950259011,23.0,119.202587,1.0,76.29966400000012,2.6154584616545544,1.8079408248489963,2.6154584616545544,1.8079408248489963,0.7278359799046709,0.9054176610383787,CantonSMH,long,long,1.9760973910683726,0.4175478270140123,1.7041701669553497,0.25718421161383437
6,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,6.0,1891.4391660000001,1289.589263000001,0.7741983764191253,7.796740999999884,0.5562931552440205,3.0,76.29966400000012,1.0,83.09575700000005,0.21545845612766643,0.01987548618522973,0.21545845612766643,0.01987548618522973,0.4658761366801312,0.9860641843082483,CantonSMH,short,very short,0.8919131076285092,-0.6666364564258511,-0.25469628368318753,-1.701682239024703
7,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,7.0,1982.331664,1366.8061880000016,0.8205551658886712,156.43516099999965,20.101445335330254,18.0,83.09575700000005,1.0,27.017587000000276,4.322995758502605,0.7181932678827465,4.322995758502605,0.7181932678827465,0.5073722244133464,0.32060692204936997,CantonSMH,long,long,2.194334373481184,0.6357848094268238,1.303227285211105,-0.14375867013041033
8,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,8.0,2165.784412,1391.4889220000016,0.8353733201154911,4.669705999999678,10.179592795186181,9.0,27.017587000000276,1.0,72.71399800000017,0.1290446412584497,0.3637009624596883,0.1290446412584497,0.3637009624596883,0.16496598273328497,0.8628679936770024,CantonSMH,long,long,0.6692895386823609,-0.8892600253719994,1.0077304056686458,-0.43925554967286956
9,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,9.0,2243.168116,1460.6589410000017,0.8768991903620397,2.9602610000001732,0.8915325358987047,3.0,72.71399800000017,1.0,44.94592199999988,0.0818051112375015,0.03185306602085502,0.0818051112375015,0.03185306602085502,0.4439825117815305,0.533355318189255,CantonSMH,short,very short,0.4713300035801384,-1.0872195604742219,-0.04986280290541562,-1.496848758246931
10,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,10.0,2291.074299,1504.937762000002,0.9034817560761846,15.718565000000126,58.53878915765927,23.0,44.94592199999988,1.0,88.30748199999971,0.43437350906519157,2.091499570388861,0.43437350906519157,2.091499570388861,0.2744341377556581,1.047909644852805,CantonSMH,long,long,1.1964128953275504,-0.36213666872680983,1.7674437350505305,0.3204577797090152
11,bias_video_cam_0_date_2019_06_04_time_09_45_48_v001,fly02,0-125M_40hr,11.0,2395.1003459999997,1590.1599010000016,0.9546444351878861,4.461236999999983,2.050615182033198,5.0,88.30748199999971,1.0,300.487259,0.12328372026717738,0.07326527989337735,0.12328372026717738,0.07326527989337735,0.5391943607262809,3.5657623763010684,CantonSMH,short,very short,0.6494552954357823,-0.909094268618578,0.3118841684133229,-1.1351017869281925
12,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,0.0,1783.577263,822.5770110000014,0.8028077309371294,0.6254069999999956,0.5513384302721533,0.0,1783.577263,True,79.21822799999995,0.0325909798616361,0.004066171196991593,0.1029371271146766,0.022772071628172363,25.07555388748603,5.5117197437576655,CantonSMH,short,very short,-0.203837262133127,-1.4869025820907202,-0.25858173457779193,-1.6425974588113472
13,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,1.0,1863.4208979999999,900.9613630000015,0.8793082444800459,1.667752000000064,1.0020146258548266,3.0,79.21822799999995,True,10.048207000000048,0.08690927963103355,0.00738994923427341,0.2744990056391501,0.041386465335236974,1.113739778081682,0.6991181488086843,CantonSMH,short,very short,0.2221314701391739,-1.0609338498184195,0.0008740607345066386,-1.3831416634990485
14,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,2.0,1875.136857,910.9261830000014,0.8890335764871627,1.6260580000000573,2.4468743397319486,3.0,10.048207000000048,True,5.712050999999974,0.08473653721793091,0.018045921373492164,0.2676364975797263,0.10106387414715136,0.14126910077184335,0.3974239902721706,CantonSMH,short,very short,0.21113603242086254,-1.0719292875367308,0.38861166654741264,-0.9954040576861425
15,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,3.0,1882.474966,916.4297640000013,0.8944048880063934,1.9596090000000004,3.8085957158737074,4.0,5.712050999999974,True,4.002604999999903,0.10211842441111359,0.028088740690952383,0.3225363974628774,0.15730739901772262,0.08030649730174758,0.2784868781079354,CantonSMH,short,very short,0.29216942539613294,-0.9908958945614604,0.5807648745554852,-0.8032508496780699
16,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,4.0,1888.43718,920.3072870000012,0.898189221144396,2.7517910000001393,3.5679418855124823,3.0,4.002604999999903,True,3.2104229999999916,0.14340032181353365,0.026313896748045146,0.45292339222304734,0.147367612560474,0.056273164863628676,0.22336970015175903,CantonSMH,short,very short,0.4396154459175827,-0.8434498740400106,0.5524177719914198,-0.8315979522421353
17,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,5.0,1894.399394,923.3509350000013,0.9011597200909699,3.085341999999855,7.766788456778158,6.0,3.2104229999999916,True,5.211725000000115,0.16078220900670448,0.057280773082494865,0.507823292106161,0.32079364206719535,0.045135771019370954,0.3626131044175347,CantonSMH,short,short,0.48930331115061687,-0.7937620088069764,0.8902414764812921,-0.4937742477522631
18,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,6.0,1902.696461,928.0623330000014,0.9057578874204016,2.3348530000000665,4.477735401238533,3.0,5.211725000000115,True,7.379802999999811,0.1216730019057723,0.033023706885946996,0.38429864081325044,0.18494504589254476,0.0732723464216201,0.5134601836857678,CantonSMH,short,very short,0.368259543018422,-0.9148057769391713,0.6510584266308621,-0.732957297602693
19,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,7.0,1912.4111169999999,934.9835050000011,0.9125127204809445,9.422800000000052,26.819381070262352,16.0,7.379802999999811,True,7.671659999999974,0.49103749244928263,0.19779538091551438,1.550919579371812,1.107727728055874,0.1037536481566632,0.5337665453637238,CantonSMH,short,short,0.9741799732662998,-0.3088853466912935,1.428448751111727,0.04443302687817187
20,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,8.0,1929.505577,942.321615000001,0.9196744711251853,5.336807000000135,14.818589523947594,9.0,7.671659999999974,True,5.170030999999881,0.2781097260862833,0.10928844897057848,0.8783969168006013,0.6120559778523803,0.10785690517993021,0.3597121856668966,CantonSMH,short,short,0.7272814972854049,-0.5557838226721884,1.1708068682102326,-0.21320885602332262
21,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,9.0,1940.012415,947.324872000001,0.9245574831055254,7.129640999999992,22.132350565125307,13.0,5.170030999999881,True,6.295763999999963,0.37153723295661295,0.16322810355376471,1.1734834466179853,0.9141381131731898,0.07268616483841682,0.43803664405165127,CantonSMH,short,short,0.8530676623000752,-0.42999765765751813,1.3450275405993033,-0.038988183634252
22,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,10.0,1953.4378199999999,953.537248000001,0.930620554907429,4.044300000000021,13.229999516118369,8.0,6.295763999999963,True,4.753093000000035,0.21075507606153512,0.09757245280743182,0.6656603191040261,0.5464420400968915,0.08851299728914165,0.33070313731350526,CantonSMH,short,short,0.6068433634155425,-0.6762219565420509,1.1215598283033645,-0.2624558959301907
23,bias_video_cam_0_date_2019_06_05_time_09_25_16_v001,fly03,0-125M_40hr,11.0,1962.235213,958.290341000001,0.9352594151663904,2.168077999999923,4.561089650593203,3.0,4.753093000000035,True,4.25276800000006,0.11298208436498834,0.0336384520755858,0.3568487731677571,0.18838784768649938,0.06682437712468951,0.29589232103526913,CantonSMH,short,very short,0.3360749025712364,-0.9469904173863569,0.6590686086091215,-0.7249471156244337
