genotype,label,flyid,food,abs_ifCW
Gr43a,"Gr43a
Gr43a-40hr",fly10,after,0.2839674203412748
Gr43a,"Gr43a
Gr43a-40hr",fly10,before,0.05813953488372092
Gr43a,"Gr43a
Gr43a-40hr",fly11,after,0.17873050082101807
Gr43a,"Gr43a
Gr43a-40hr",fly11,before,0.015873015873015817
Gr43a,"Gr43a
Gr43a-40hr",fly12,after,0.2387152777777777
Gr43a,"Gr43a
Gr43a-40hr",fly12,before,0.05419281232173412
Gr43a,"Gr43a
Gr43a-40hr",fly13,after,0.2513148226352789
Gr43a,"Gr43a
Gr43a-40hr",fly13,before,0.05212121212121201
Gr43a,"Gr43a
Gr43a-40hr",fly14,after,0.14888380955085026
Gr43a,"Gr43a
Gr43a-40hr",fly14,before,0.011356045424181671
Gr43a,"Gr43a
Gr43a-40hr",fly15,after,0.24946217341514917
Gr43a,"Gr43a
Gr43a-40hr",fly15,before,0.06547208821502415
Gr43a,"Gr43a
Gr43a-40hr",fly16,after,0.23637972410852442
Gr43a,"Gr43a
Gr43a-40hr",fly16,before,0.16533637400228052
Gr43a,"Gr43a
Gr43a-40hr",fly17,after,0.24890260788986532
Gr43a,"Gr43a
Gr43a-40hr",fly17,before,0.0991253644314869
Gr43a,"Gr43a
Gr43a-40hr",fly18,after,0.21257334868149128
Gr43a,"Gr43a
Gr43a-40hr",fly18,before,0.07723577235772361
Gr43a,"Gr43a
Gr43a-40hr",fly19,after,0.21478229534360493
Gr43a,"Gr43a
Gr43a-40hr",fly19,before,0.02635658914728678
Gr43a,"Gr43a
Gr43a-40hr",fly20,after,0.01871438788421792
Gr43a,"Gr43a
Gr43a-40hr",fly20,before,0.03805774278215224
Gr5a,"Gr5a
Gr5a-40hr",fly01,after,0.1636597071838499
Gr5a,"Gr5a
Gr5a-40hr",fly01,before,0.09371293001186243
Gr5a,"Gr5a
Gr5a-40hr",fly02,after,0.09815581442615236
Gr5a,"Gr5a
Gr5a-40hr",fly02,before,0.022630834512022524
Gr5a,"Gr5a
Gr5a-40hr",fly03,after,0.18194543310520642
Gr5a,"Gr5a
Gr5a-40hr",fly03,before,0.16219119226638024
Gr5a,"Gr5a
Gr5a-40hr",fly04,after,0.117906619037279
Gr5a,"Gr5a
Gr5a-40hr",fly04,before,0.10550045085662751
Gr5a,"Gr5a
Gr5a-40hr",fly05,after,0.10488823408866287
Gr5a,"Gr5a
Gr5a-40hr",fly05,before,0.08201892744479489
Gr5a,"Gr5a
Gr5a-40hr",fly06,after,0.3102822209965067
Gr5a,"Gr5a
Gr5a-40hr",fly06,before,0.021333333333333315
Gr5a,"Gr5a
Gr5a-40hr",fly07,after,0.1618390827373514
Gr5a,"Gr5a
Gr5a-40hr",fly07,before,0.03418803418803418
Gr5a,"Gr5a
Gr5a-40hr",fly08,after,0.13396743525812135
Gr5a,"Gr5a
Gr5a-40hr",fly08,before,0.049645390070921946
Gr5a,"Gr5a
Gr5a-40hr",fly09,after,0.15676891615541927
Gr5a,"Gr5a
Gr5a-40hr",fly09,before,0.188785046728972
Gr5a,"Gr5a
Gr5a-40hr",fly10,after,0.14767513445364863
Gr5a,"Gr5a
Gr5a-40hr",fly10,before,0.0033333333333332993
Gr5a,"Gr5a
Gr5a-40hr",fly11,after,0.11850078867140518
