genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW,food
Tmem63,0-125M_24hr,fly05,0.0,0.4639175257731959,388,-0.0721649484536082,0.0721649484536082,before food
Tmem63,0-125M_24hr,fly06,0.0,0.5638297872340425,188,0.127659574468085,0.127659574468085,before food
Tmem63,0-125M_24hr,fly07,0.0,0.5138248847926268,434,0.0276497695852535,0.0276497695852535,before food
Tmem63,0-125M_24hr,fly08,0.0,0.5327731092436975,595,0.0655462184873949,0.0655462184873949,before food
Tmem63,0-125M_24hr,fly09,0.0,0.4770992366412214,262,-0.0458015267175572,0.0458015267175572,before food
Tmem63,0-125M_24hr,fly10,0.0,0.4426807760141093,567,-0.1146384479717813,0.1146384479717813,before food
Tmem63,0-125M_24hr,fly11,0.0,0.514018691588785,535,0.0280373831775699,0.0280373831775699,before food
Tmem63,0-125M_24hr,fly12,0.0,0.0015015015015015,666,-0.996996996996997,0.996996996996997,before food
Tmem63,0-125M_24hr,fly13,0.0,0.4854111405835544,377,-0.0291777188328912,0.0291777188328912,before food
Tmem63,0-125M_24hr,fly14,0.0,0.4709388971684053,671,-0.0581222056631892,0.0581222056631892,before food
Tmem63,0-125M_24hr,fly15,0.0,0.5013440860215054,744,0.0026881720430107,0.0026881720430107,before food
Tmem63,0-125M_24hr,fly16,0.0,0.5280898876404494,1068,0.0561797752808987,0.0561797752808987,before food
Tmem63,0-125M_24hr,fly17,0.0,0.5,26,0.0,0.0,before food
Tmem63,0-125M_24hr,fly18,0.0,0.5844155844155844,154,0.1688311688311687,0.1688311688311687,before food
Tmem63,0-125M_24hr,fly19,0.0,0.4753086419753086,486,-0.0493827160493827,0.0493827160493827,before food
Tmem63,0-125M_24hr,fly20,0.0,0.474025974025974,154,-0.0519480519480519,0.0519480519480519,before food
Tmem63b,0-125M_24hr,fly01,0.0,0.4516129032258064,62,-0.0967741935483871,0.0967741935483871,before food
Tmem63b,0-125M_24hr,fly02,0.0,0.4410540915395284,721,-0.117891816920943,0.117891816920943,before food
Tmem63b,0-125M_24hr,fly03,0.0,0.3970588235294117,68,-0.2058823529411765,0.2058823529411765,before food
Tmem63b,0-125M_24hr,fly04,0.0,0.5737704918032787,61,0.1475409836065573,0.1475409836065573,before food
Tmem63b,0-125M_24hr,fly05,0.0,0.5303867403314917,181,0.0607734806629833,0.0607734806629833,before food
Tmem63b,0-125M_24hr,fly06,0.0,0.4545454545454545,77,-0.0909090909090909,0.0909090909090909,before food
