genotype,condition,fly,after_which_visit,ifCW,turnCount,ifCWplt,abs_ifCW
Tmem63,0-125M_24hr,fly09,0.0,0.4770992366412214,262,-0.04580152671755722,0.04580152671755722
Tmem63,0-125M_24hr,fly10,0.0,0.4426807760141093,567,-0.11463844797178135,0.11463844797178135
Tmem63,0-125M_24hr,fly11,0.0,0.514018691588785,535,0.028037383177569986,0.028037383177569986
Tmem63,0-125M_24hr,fly12,0.0,0.0015015015015015015,666,-0.996996996996997,0.996996996996997
Tmem63,0-125M_24hr,fly13,0.0,0.4854111405835544,377,-0.02917771883289122,0.02917771883289122
Tmem63,0-125M_24hr,fly14,0.0,0.47093889716840537,671,-0.058122205663189264,0.058122205663189264
Tmem63,0-125M_24hr,fly15,0.0,0.5013440860215054,744,0.0026881720430107503,0.0026881720430107503
Tmem63,0-125M_24hr,fly16,0.0,0.5280898876404494,1068,0.05617977528089879,0.05617977528089879
Tmem63,0-125M_24hr,fly17,0.0,0.5,26,0.0,0.0
Tmem63,0-125M_24hr,fly18,0.0,0.5844155844155844,154,0.16883116883116878,0.16883116883116878
Tmem63,0-125M_24hr,fly19,0.0,0.47530864197530864,486,-0.04938271604938271,0.04938271604938271
Tmem63,0-125M_24hr,fly20,0.0,0.474025974025974,154,-0.051948051948051965,0.051948051948051965
Tmem63b,0-125M_24hr,fly01,0.0,0.45161290322580644,62,-0.09677419354838712,0.09677419354838712
Tmem63b,0-125M_24hr,fly02,0.0,0.44105409153952846,721,-0.11789181692094308,0.11789181692094308
Tmem63b,0-125M_24hr,fly03,0.0,0.39705882352941174,68,-0.20588235294117652,0.20588235294117652
Tmem63b,0-125M_24hr,fly04,0.0,0.5737704918032787,61,0.14754098360655732,0.14754098360655732
Tmem63b,0-125M_24hr,fly05,0.0,0.5303867403314917,181,0.06077348066298338,0.06077348066298338
Tmem63b,0-125M_24hr,fly06,0.0,0.45454545454545453,77,-0.09090909090909094,0.09090909090909094
Tmem63b,0-125M_24hr,fly07,0.0,0.48286290322580644,992,-0.03427419354838712,0.03427419354838712
Tmem63b,0-125M_24hr,fly08,0.0,0.4700665188470067,451,-0.05986696230598665,0.05986696230598665
Tmem63b,0-125M_24hr,fly09,0.0,0.5,786,0.0,0.0
Tmem63b,0-125M_24hr,fly10,0.0,0.42263610315186245,698,-0.1547277936962751,0.1547277936962751
Tmem63b,0-125M_24hr,fly11,0.0,0.3333333333333333,6,-0.33333333333333337,0.33333333333333337
Tmem63b,0-125M_24hr,fly12,0.0,0.48484848484848486,297,-0.030303030303030276,0.030303030303030276
Tmem63b,0-125M_24hr,fly13,0.0,0.5525291828793775,514,0.10505836575875493,0.10505836575875493
Tmem63b,0-125M_24hr,fly14,0.0,0.4578544061302682,522,-0.08429118773946365,0.08429118773946365
Tmem63b,0-125M_24hr,fly15,0.0,0.5182926829268293,164,0.03658536585365857,0.03658536585365857
Tmem63b,0-125M_24hr,fly16,0.0,0.5302013422818792,298,0.06040268456375841,0.06040268456375841
Tmem63b,0-125M_24hr,fly17,0.0,0.4978540772532189,233,-0.0042918454935622075,0.0042918454935622075
Tmem63b,0-125M_24hr,fly18,0.0,0.48330058939096265,509,-0.03339882121807469,0.03339882121807469
Tmem63b,0-125M_24hr,fly19,0.0,0.508,250,0.016000000000000014,0.016000000000000014
Tmem63b,0-125M_24hr,fly20,0.0,0.44325290437890974,1119,-0.11349419124218052,0.11349419124218052
Tmem63b,0-125M_24hr,fly21,0.0,0.4439252336448598,214,-0.11214953271028039,0.11214953271028039
Tmem63b_x_CSMH,0-125M_24hr,fly01,0.0,0.4647887323943662,71,-0.07042253521126762,0.07042253521126762
Tmem63b_x_CSMH,0-125M_24hr,fly02,0.0,0.47058823529411764,85,-0.05882352941176472,0.05882352941176472
Tmem63b_x_CSMH,0-125M_24hr,fly03,0.0,0.4824120603015075,199,-0.035175879396984966,0.035175879396984966
Tmem63b_x_CSMH,0-125M_24hr,fly04,0.0,0.4827586206896552,174,-0.03448275862068961,0.03448275862068961
Tmem63b_x_CSMH,0-125M_24hr,fly05,0.0,0.5673469387755102,245,0.13469387755102047,0.13469387755102047
Tmem63b_x_CSMH,0-125M_24hr,fly06,0.0,0.5341246290801187,337,0.06824925816023741,0.06824925816023741
Tmem63b_x_CSMH,0-125M_24hr,fly07,0.0,0.45699831365935917,593,-0.08600337268128166,0.08600337268128166
Tmem63b_x_CSMH,0-125M_24hr,fly08,0.0,0.5043103448275862,232,0.008620689655172376,0.008620689655172376
Tmem63b_x_CSMH,0-125M_24hr,fly09,0.0,0.5191256830601093,183,0.03825136612021862,0.03825136612021862
