,condition,flyid,loopN,loop_length,distance_patch_0,fed,normFed,deltaCFF,pathLengthDistanceRatio,maxDistBin_uneven,maxDistBin,deltaCFFBin,loopN_bin,loopN_binShort,loopN_binShort_num
485,sucrose,fly09,7,32.01128369479298,12.008134097397365,134.9572190000059,0.741,-0.0003629570904803703,2.6657999848395333,"[12, 15)","[12, 16)","[-0.1, 0.0)","[5, 9)","[7, 10)",2.0
486,sucrose,fly09,8,23.42191278477255,6.363608904655137,162.82193500000923,0.894,0.008957141240855428,3.6806021764849257,"[6, 9)","[4, 8)","[0.0, 0.1)","[5, 9)","[7, 10)",2.0
487,sucrose,fly09,9,32.36340172856835,14.359951754786984,173.4545240000105,0.952,0.004307061949052345,2.253726355158526,"[12, 15)","[12, 16)","[0.0, 0.1)","[9, 13)","[7, 10)",2.0
488,sucrose,fly09,10,202.09469299408735,30.32647241463804,180.58735800001136,0.991,0.00244756819642368,6.663969690604038,"[30, 40)","[28, 32)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
489,sucrose,fly10,1,18.154967375218916,5.188518597956272,100.0263310000017,0.667,0.10340882662191163,3.4990656836751155,"[3, 6)","[4, 8)","[0.1, 0.2)","[1, 5)","[1, 4)",0.0
490,sucrose,fly10,2,95.71052723487915,7.112751831052527,109.1590250000028,0.728,0.006224728297189036,13.456188196673827,"[6, 9)","[4, 8)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
491,sucrose,fly10,3,20.273109782655403,6.592066329605242,117.95840900000385,0.786,0.006062738755485478,3.075380126502677,"[6, 9)","[4, 8)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
492,sucrose,fly10,4,684.5453472154924,28.23377533760843,121.6248190000043,0.811,0.00329311777959089,24.245618555434657,"[20, 30)","[28, 32)","[0.0, 0.1)","[1, 5)","[4, 7)",1.0
493,sucrose,fly10,5,4.686252690160042,2.884811257254065,136.22379700000604,0.908,0.006033832220076779,1.6244572945200912,"[0, 3)","[0, 4)","[0.0, 0.1)","[5, 9)","[4, 7)",1.0
494,sucrose,fly10,6,16.74712421041644,5.185556122405927,144.9898500000071,0.966,0.0036759940948387637,3.229571489556327,"[3, 6)","[4, 8)","[0.0, 0.1)","[5, 9)","[4, 7)",1.0
495,sucrose,fly10,7,12.301147530498193,5.050102918615219,146.6564000000073,0.978,0.0008405590065356655,2.4358211562688847,"[3, 6)","[4, 8)","[0.0, 0.1)","[5, 9)","[7, 10)",2.0
496,sucrose,fly10,8,126.96731772543417,14.951637845529007,147.12303400000735,0.981,0.00028495874748395156,8.491866846775,"[12, 15)","[12, 16)","[0.0, 0.1)","[5, 9)","[7, 10)",2.0
497,sucrose,fly12,1,9.346080257269874,4.226213210537474,39.730551999999655,0.095,0.24808222633552524,2.2114549814871443,"[3, 6)","[4, 8)","[0.2, 0.3)","[1, 5)","[1, 4)",0.0
498,sucrose,fly12,2,4.003065484133001,2.77208205541134,50.82977499999862,0.122,0.019580251790345893,1.4440645710031117,"[0, 3)","[0, 4)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
499,sucrose,fly12,3,12.020260367747612,5.530783109440786,55.86275599999815,0.134,0.013396661933183951,2.173337867331951,"[3, 6)","[4, 8)","[0.0, 0.1)","[1, 5)","[1, 4)",0.0
500,sucrose,fly12,4,2.510905287456207,2.6850479161567136,57.39598199999801,0.138,0.003229345739556244,0.9351435675867683,"[0, 3)","[0, 4)","[0.0, 0.1)","[1, 5)","[4, 7)",1.0
501,sucrose,fly12,5,5.297256494479327,3.002577429963794,58.22925699999793,0.14,-0.0019327835720533981,1.7642364328780034,"[3, 6)","[0, 4)","[-0.1, 0.0)","[5, 9)","[4, 7)",1.0
502,sucrose,fly12,6,51.44326032898487,16.10945710758835,59.029200999997855,0.142,-0.004128820019059787,3.1933577888700264,"[15, 20)","[16, 20)","[-0.1, 0.0)","[5, 9)","[4, 7)",1.0
503,sucrose,fly12,7,6.674172616727091,4.5964784504169955,59.16252499999784,0.142,-0.0009679079304991955,1.4520186896822296,"[3, 6)","[4, 8)","[-0.1, 0.0)","[5, 9)","[7, 10)",2.0
504,sucrose,fly12,8,42.2963699568021,6.361509883661414,61.56235699999762,0.148,0.00751941239143189,6.648794190422308,"[6, 9)","[4, 8)","[0.0, 0.1)","[5, 9)","[7, 10)",2.0
505,sucrose,fly12,9,4.808776160744209,3.2021835052623713,62.662279999997516,0.151,0.007499791188325944,1.5017178599669918,"[3, 6)","[0, 4)","[0.0, 0.1)","[9, 13)","[7, 10)",2.0
506,sucrose,fly12,10,5.283356145435062,3.41887917134245,63.628878999997426,0.153,-0.001442204262284058,1.5453474313222102,"[3, 6)","[0, 4)","[-0.1, 0.0)","[9, 13)","[10, 13)",3.0
507,sucrose,fly12,11,20.93429511419803,6.243377272603783,64.36216099999743,0.155,0.0026170281446989685,3.3530402216855686,"[6, 9)","[4, 8)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
508,sucrose,fly12,12,274.28876393591753,34.400860960978434,72.16161499999836,0.173,0.00996526377985868,7.973311024019097,"[30, 40)","[32, 36)","[0.0, 0.1)","[9, 13)","[10, 13)",3.0
509,sucrose,fly12,13,4.223696953166115,2.8857269201383895,82.02759099999955,0.197,0.012909310106768976,1.463650951755186,"[0, 3)","[0, 4)","[0.0, 0.1)","[13, 17)","[13, 16)",4.0
510,sucrose,fly12,14,5.808253840579561,2.693735190777888,108.19242600000268,0.26,0.03014223680150044,2.1562081753486217,"[0, 3)","[0, 4)","[0.0, 0.1)","[13, 17)","[13, 16)",4.0
511,sucrose,fly12,15,16.38145402394002,5.890821785227884,111.19221600000304,0.267,0.0026519382866819763,2.780843593846102,"[3, 6)","[4, 8)","[0.0, 0.1)","[13, 17)","[13, 16)",4.0
512,sucrose,fly12,16,2.6646800822840033,2.7099707062835585,113.85869600000336,0.273,0.0018094092955469043,0.9832874119655461,"[0, 3)","[0, 4)","[0.0, 0.1)","[13, 17)","[16, 19)",5.0
513,sucrose,fly12,17,12.827024990063874,5.443489864896458,115.8918870000036,0.278,-0.0021161297822036296,2.356397331201398,"[3, 6)","[4, 8)","[-0.1, 0.0)","[17, 21)","[16, 19)",5.0
514,sucrose,fly12,18,3.5368033221198094,2.916455688222801,120.0249310000041,0.288,0.00417406217271396,1.2127060035241026,"[0, 3)","[0, 4)","[0.0, 0.1)","[17, 21)","[16, 19)",5.0
515,sucrose,fly12,19,4.091750327981189,3.0677582749047545,133.09068300000567,0.32,0.009576482713731488,1.3337916358837714,"[3, 6)","[0, 4)","[0.0, 0.1)","[17, 21)","[19, 22)",6.0
516,sucrose,fly12,20,2.644824558062973,2.8369061599368095,148.52293600000752,0.357,0.011662351527806342,0.9322918732433099,"[0, 3)","[0, 4)","[0.0, 0.1)","[17, 21)","[19, 22)",6.0
517,sucrose,fly12,21,4.213993555407562,4.002659671022425,148.62292900000753,0.357,0.00041412923605327334,1.0527983645262438,"[3, 6)","[4, 8)","[0.0, 0.1)","[21, 25)","[19, 22)",6.0
518,sucrose,fly12,22,34.90674346241394,12.161806929722252,163.22190700000928,0.392,0.015884911255799328,2.870193850644456,"[12, 15)","[12, 16)","[0.0, 0.1)","[21, 25)","[22, 25)",7.0
519,sucrose,fly12,23,8.783303351284726,3.584184581305717,167.82158500000983,0.403,0.0033580753992803747,2.45057227161135,"[3, 6)","[0, 4)","[0.0, 0.1)","[21, 25)","[22, 25)",7.0
520,sucrose,fly12,24,46.5282028906482,11.957491741048571,168.25488800000988,0.404,0.0002684295892606825,3.891134018593775,"[9, 12)","[8, 12)","[0.0, 0.1)","[21, 25)","[22, 25)",7.0
521,sucrose,fly12,25,715.6434234020676,8.37257409097346,173.65451000001053,0.417,0.0009588115269525133,85.47471967714309,"[6, 9)","[8, 12)","[0.0, 0.1)","[25, 29)","[25, 28)",8.0
522,sucrose,fly12,26,3.2911697423609927,2.7045359949903944,345.0758429999551,0.829,0.05853401688315357,1.21690735433258,"[0, 3)","[0, 4)","[0.0, 0.1)","[25, 29)","[25, 28)",8.0
523,sucrose,fly12,27,5.907812172820739,2.606768295760511,397.7388229999165,0.955,0.018081535740471097,2.2663357469970937,"[0, 3)","[0, 4)","[0.0, 0.1)","[25, 29)","[25, 28)",8.0
